i: 1 x: 0.018023 y: 0.150423
i: 1 x: 0.814298 y: 0.339891
i: 1 x: 0.289209 y: 0.711323
i: 1 x: 0.651144 y: 0.604536
i: 1 x: 0.359476 y: 0.161847
i: 1 x: 0.627021 y: 0.220331
i: 1 x: 0.784838 y: 0.110843
i: 1 x: 0.662256 y: 0.069149
i: 1 x: 0.003414 y: 0.442231
i: 1 x: 0.402975 y: 0.831564
i: 0 x: 0.958697 y: 0.588174
i: 0 x: 0.855787 y: 0.700798
i: 1 x: 0.176797 y: 0.253160
i: 1 x: 0.308106 y: 0.231230
i: 1 x: 0.717965 y: 0.332052
i: 1 x: 0.511779 y: 0.735988
i: 1 x: 0.482475 y: 0.326077
i: 1 x: 0.075879 y: 0.771684
i: 1 x: 0.037400 y: 0.727022
i: 1 x: 0.376219 y: 0.396876
i: 1 x: 0.888869 y: 0.003240
i: 1 x: 0.617207 y: 0.673707
i: 1 x: 0.114083 y: 0.279463
i: 1 x: 0.742856 y: 0.117497
i: 1 x: 0.721694 y: 0.145831
i: 0 x: 0.949061 y: 0.680391
i: 0 x: 0.734005 y: 0.804847
i: 1 x: 0.381189 y: 0.910802
i: 1 x: 0.058008 y: 0.689295
i: 1 x: 0.142033 y: 0.775973
i: 1 x: 0.021346 y: 0.653811
i: 1 x: 0.511960 y: 0.503821
i: 0 x: 0.979888 y: 0.587839
i: 1 x: 0.275505 y: 0.017288
i: 1 x: 0.314861 y: 0.651724
i: 1 x: 0.414164 y: 0.203731
i: 1 x: 0.654964 y: 0.031371
i: 0 x: 0.877438 y: 0.769047
i: 1 x: 0.310834 y: 0.620295
i: 1 x: 0.886544 y: 0.032527
i: 0 x: 0.766126 y: 0.835604
i: 1 x: 0.712918 y: 0.500131
i: 1 x: 0.640451 y: 0.094107
i: 1 x: 0.410934 y: 0.698459
i: 1 x: 0.783402 y: 0.552966
i: 1 x: 0.474432 y: 0.804748
i: 0 x: 0.206778 y: 0.986392
i: 1 x: 0.308569 y: 0.186666
i: 1 x: 0.574231 y: 0.584074
i: 1 x: 0.203954 y: 0.889093
i: 1 x: 0.235798 y: 0.618118
i: 1 x: 0.092823 y: 0.890761
i: 0 x: 0.649489 y: 0.970262
i: 0 x: 0.659808 y: 0.960322
i: 1 x: 0.590556 y: 0.546351
i: 0 x: 0.992849 y: 0.356682
i: 1 x: 0.381956 y: 0.705768
i: 1 x: 0.856813 y: 0.022407
i: 1 x: 0.799875 y: 0.267747
i: 1 x: 0.720866 y: 0.583277
i: 1 x: 0.820713 y: 0.195298
i: 1 x: 0.388025 y: 0.027491
i: 1 x: 0.181690 y: 0.696594
i: 1 x: 0.214156 y: 0.755921
i: 1 x: 0.280668 y: 0.418111
i: 1 x: 0.645014 y: 0.516466
i: 1 x: 0.036229 y: 0.737838
i: 1 x: 0.407227 y: 0.685717
i: 1 x: 0.708099 y: 0.067035
i: 1 x: 0.646039 y: 0.298655
i: 1 x: 0.613387 y: 0.638888
i: 0 x: 0.655337 y: 0.995342
i: 1 x: 0.344656 y: 0.512150
i: 1 x: 0.017749 y: 0.144531
i: 0 x: 0.779897 y: 0.738615
i: 1 x: 0.727808 y: 0.600610
i: 1 x: 0.933913 y: 0.115833
i: 1 x: 0.628100 y: 0.115603
i: 0 x: 0.812428 y: 0.842257
i: 1 x: 0.871524 y: 0.093096
i: 1 x: 0.260367 y: 0.516538
i: 1 x: 0.609562 y: 0.296596
i: 1 x: 0.254376 y: 0.016789
i: 0 x: 0.982313 y: 0.962475
i: 1 x: 0.083825 y: 0.628352
i: 1 x: 0.261131 y: 0.697211
i: 1 x: 0.267240 y: 0.916468
i: 1 x: 0.692553 y: 0.611897
i: 1 x: 0.428618 y: 0.710303
i: 1 x: 0.756428 y: 0.208515
i: 1 x: 0.448918 y: 0.484236
i: 1 x: 0.809125 y: 0.382830
i: 1 x: 0.600069 y: 0.437225
i: 1 x: 0.498433 y: 0.412497
i: 1 x: 0.279482 y: 0.369957
i: 1 x: 0.505594 y: 0.539849
i: 1 x: 0.886496 y: 0.115156
i: 1 x: 0.836445 y: 0.140872
i: 1 x: 0.131945 y: 0.818758
i: 1 x: 0.103347 y: 0.215770
